Data_Hora,Servidor,Status,Estabilidade_Percentual
15/07/2026 02:30:17,1.1.1.1,CONECTADO,100.0
15/07/2026 02:30:22,1.1.1.1,CONECTADO,100.0
15/07/2026 02:30:27,1.1.1.1,CONECTADO,100.0
15/07/2026 02:31:23,1.1.1.1,CONECTADO,100.0
15/07/2026 02:31:28,1.1.1.1,CONECTADO,100.0
15/07/2026 02:31:34,1.1.1.1,CONECTADO,100.0
15/07/2026 02:31:39,1.1.1.1,CONECTADO,100.0
15/07/2026 02:31:44,1.1.1.1,CONECTADO,80.0
15/07/2026 02:31:49,1.1.1.1,CONECTADO,66.7
15/07/2026 02:31:54,1.1.1.1,CONECTADO,57.1
15/07/2026 02:31:59,1.1.1.1,CONECTADO,50.0
15/07/2026 02:32:04,1.1.1.1,CONECTADO,44.4
15/07/2026 02:32:09,1.1.1.1,CONECTADO,40.0
15/07/2026 02:32:14,1.1.1.1,CONECTADO,45.5
15/07/2026 02:33:03,8.8.4.4,CONECTADO,100.0
15/07/2026 02:33:08,8.8.4.4,CONECTADO,100.0
15/07/2026 02:33:13,8.8.4.4,CONECTADO,100.0
15/07/2026 02:33:18,8.8.4.4,CONECTADO,100.0
15/07/2026 02:33:23,8.8.4.4,QUEDA DETECTADA,80.0
15/07/2026 02:33:28,8.8.4.4,QUEDA DETECTADA,66.7
15/07/2026 02:33:33,8.8.4.4,QUEDA DETECTADA,57.1
15/07/2026 02:33:38,8.8.4.4,QUEDA DETECTADA,50.0
15/07/2026 02:33:43,8.8.4.4,CONECTADO,55.6
15/07/2026 02:33:48,8.8.4.4,CONECTADO,60.0
15/07/2026 02:33:54,8.8.4.4,CONECTADO,63.6
15/07/2026 02:33:59,8.8.4.4,CONECTADO,66.7
15/07/2026 02:34:04,8.8.4.4,CONECTADO,69.2
15/07/2026 02:34:09,8.8.4.4,CONECTADO,71.4
15/07/2026 02:34:14,8.8.4.4,CONECTADO,73.3
15/07/2026 02:34:19,8.8.4.4,CONECTADO,75.0
